Unique.Squirrel.ID,Hectare,Shift,Date,Hectare.Squirrel.Number,Age,Weight,Primary.Fur.Color,Highlight.Fur.Color,Combination.of.Primary.and.Highlight.Color,Color.notes,Location,Above.Ground.Sighter.Measurement,Specific.Location,Running,Chasing,Climbing,Eating,Foraging,Other.Activities,Kuks,Quaas,Moans,Tail.flags,Tail.twitches,Approaches,Indifferent,Runs.from,Other.Interactions
17F-PM-1020-04,17F,PM,10202018,4,Juvenile,607.2809201,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
11A-PM-1013-03,11A,PM,10132018,3,Adult,586.5165282,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
17E-AM-1017-01,17E,AM,10172018,1,Adult,438.9370809,Gray,,Gray+,,Ground Plane,FALSE,Pond area,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
31I-PM-1019-02,31I,PM,10192018,2,Adult,519.0545822,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
32H-PM-1006-02,32H,PM,10062018,2,,421.2021533,Gray,,Gray+,,Above Ground,8,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
6A-PM-1012-07,06A,PM,10122018,7,Adult,293.4810553,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,elevated ground,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
17A-AM-1017-01,17A,AM,10172018,1,Adult,497.412169,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,3,ground & tree,TRUE,FALSE,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
40C-AM-1017-07,40C,AM,10172018,7,Adult,653.5773592,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,digging,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
8A-PM-1014-01,08A,PM,10142018,1,Adult,700.8193679,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,runs from (goes up a tree)
13C-PM-1019-05,13C,PM,10192018,5,Adult,642.6981677,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,
4E-PM-1008-03,04E,PM,10082018,3,Adult,522.360009,Gray,,Gray+,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,chasing #4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
41E-PM-1013-05,41E,PM,10132018,5,Juvenile,594.819107,Gray,"Cinnamon, White","Gray+Cinnamon, White",White tail,Above Ground,10,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
3H-AM-1008-05,03H,AM,10082018,5,Adult,410.698751,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,13,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
41E-AM-1007-02,41E,AM,10072018,2,Adult,645.2910039,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
40E-AM-1014-03,40E,AM,10142018,3,Adult,480.5530692,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,TRUE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
2A-AM-1010-02,02A,AM,10102018,2,,385.700775,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,perched on small fence,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
